attore,film,anno
Cohen Holloway,The Stolen,2017
Rik Mayall,Errors Of The Human Body,2013
Ann Dowd,Our Brand is Crisis,2015
Jason Biggs,Saving Silverman,2001
Dana Ivey,Simon Birch,1998
Craig Fairbrass,Rise of the Footsoldier,2007
Jakob Cedergren,Terribly Happy (Frygtelig lykkelig),2010
Oskar Werner,The Shoes of the Fisherman,1968
Vanessa Bayer,Ibiza,2018
Gene Lockhart,Hangmen Also Die,1943
Bradley Whitford,Little Manhattan,2005
Abu Jandal,The Oath,2010
Ed Harris,Sweet Dreams,1985
Chris O'Donnell,Max Payne,2008
Buster Keaton Jr.,Our Hospitality,1923
Rosanna DeSoto,Family Business,1989
Mike C. Manning,Delirium,2018
Annette Bening,The Siege,1998
Bob Dylan,Dont Look Back,1967
Don Messick,Scooby-Doo and the Reluctant Werewolf,1990
Sidney D. Balkin,Spine Tingler: The William Castle Story,2007
Antwan A. Patton,Who's Your Caddy?,2007
Joseph Cawthorn,White Zombie,1932
River Phoenix,Dogfight,1991
Jade Tailor,Cam2Cam,2014
Jennifer Morrison,Urban Legends: Final Cut,2000
Jann Wenner,Perfect,1985
Kerry Condon,This Must Be The Place,2012
Valerie Mahaffey,Sully,2016
Andrew Rubin,Casey's Shadow,1978
Christopher McDonald,Flubber,1997
Til Schweiger,This Means War,2012
Fred Dalton Thompson,Baby's Day Out,1994
Larry Miller,Dream Lover,1994
Coral Browne,Theater of Blood (Theatre of Blood) (Much Ado About Murder),1973
Ethan Suplee,The Butterfly Effect,2004
Frieda Inescort,The Letter,1940
Laura Giosh,Day of the Dead,2008
Ann Jyono,Deliver Us from Evil,2006
Persis Khambatta,Megaforce,1982
Rachel Miner,Bully,2001
Keenan Wynn,Son of Flubber,1963
Fernando Becerril,The Similars (Los Parecidos),2016
Patrick Shane Dorian,In God's Hands,1998
Laidychen Carrasco,The We and the I,2013
Song Kang-ho,"The Good, the Bad, the Weird (Joheun-nom, Nabbeun-nom, Isanghan-nom)",2010
T. Arthur Cottam,The Human Race,2014
Peter Cook,Bedazzled,1967
Elizabeth Berkley,Roger Dodger,2002
James Cosmo,In Darkness,2018
Vivian Wu,The Pillow Book,1997
Ian Anthony Dale,Wakefield,2017
Mungau Dain,Tanna,2016
Toni Sevilla,The Nameless (Los sin nombre),2005
Philippe Lefebvre,"OSS 117: Le Caire Nid d'Espions (OSS 117: Cairo, Nest of Spies)",2008
Katrin Cartlidge,Breaking the Waves,1996
Helena Yaralova,Kedma,2003
Kathy Baker,The Age of Adaline,2015
Russell Crowe,Proof of Life,2000
Mark Hamill,Brigsby Bear,2017
Colleen Trusler,October Baby,2012
D. Milyutenko,Ivan's Childhood (Ivanovo detstvo),1962
Mark Rolston,Gangster Land (In the Absence of Good Men),2017
Vera Farmiga,Source Code,2011
Jean-Pierre Marielle,Santa's Apprentice (L'apprenti Pere Noel),2010
Kal Penn,The Namesake,2006
Martin Landau,City Hall,1996
Tom Cavanagh,Two Weeks,2006
Lucy Liu,Mulan II,2003
Nina Foch,Hush,1998
Nicole Kidman,Bewitched,2005
Jonathan Silverman,Brighton Beach Memoirs,1986
Robert De Niro,Falling in Love,1984
Chen Chang,The Grandmaster,2013
Sammy Davis Jr.,Robin and the Seven Hoods,1964
Jennifer Lawrence,The Burning Plain,2009
Alec Baldwin,Malice,1993
Gaby Hoffmann,Obvious Child,2014
Dominic Cooper,The Devil's Double,2011
Susumu Terajima,Ichi the Killer (Koroshiya 1),2001
Jill Hennessy,RoboCop 3,1993
Nathaniel Lees,The Other Side of Heaven,2001
Mabel King,Ganja & Hess,1973
Michael Denison,Shadowlands,1993
James McAvoy,Strings,2004
Emile Hirsch,The Emperor's Club,2002
Rosalyn Coleman,Our Song,2001
Julianna Margulies,What's Cooking?,2000
Aaron Glenane,Killing Ground,2017
Clayne Crawford,A Walk to Remember,2002
Cicely Tyson,Bustin' Loose,1981
Sean Patrick Thomas,Barbershop 2: Back in Business,2004
Ryan Gosling,Fracture,2007
Philippa Carson,Anti Matter,2017
Frances McDormand,Miss Pettigrew Lives for a Day,2008
Francisco Rabal,Viridiana,1961
Eva Krzyzewski,Popil i diament (Ashes and Diamonds),1958
Josh Grace,Jesus Christ Vampire Hunter,2001
Omid Djalili,Modigliani,2004
Richard Masur,My Girl 2,1996
Barry Scott,Ernest Goes to Jail,1990
Thierry Guetta,Exit Through The Gift Shop,2010
Rex Ingram,Moonrise,1948
Ashley Judd,Twisted,2004
Lori Singer,Warlock,1991
Rory Cochrane,A Scanner Darkly,2006
Eric Schweig,Tom and Huck,1995
Joey Morgan,Scouts Guide to the Zombie Apocalypse,2015
Li Bin,The Road Home (Wo de fu qin mu qin),2001
Jacques Marin,Herbie Goes to Monte Carlo,1977
Christopher Plummer,The Lake House,2006
Ray Bolger,The Wizard of Oz,1939
Jerry O'Connell,Tomcats,2001
Melanie Griffith,Pacific Heights,1990
John Collin,Tess,1979
Janeane Garofalo,The Minus Man,1999
Bob Burrus,Tully,2002
Jeff Phillips,The Lords of Salem,2013
Ian McKellen,X2: X-Men United,2003
Antonin Artaud,The Passion of Joan of Arc (La Passion de Jeanne d'Arc),1928
Per Christian Ellefsen,Rare Exports: A Christmas Tale,2010
Barbara Stanwyck,Executive Suite,1954
Don Duong,Green Dragon,2001
Dorothe Berryman,The Barbarian Invasions (Les Invasions barbares),2003
Eric Tsang,Contract Killer,2002
Johnny Vekris,Alps (Alpeis),2012
Sam Parsonson,Coffin Rock,2009
Annette Funicello,Beach Party,1963
Jacques Boudet,Farinelli,1994
Paget Brewster,Batman and Harley Quinn,2017
Margaret Irving,San Francisco,1936
Ben Matson,Storm Surfers 3D,2013
Patsy Kensit,Blame It on the Bellboy,1992
Katherine Heigl,The Nut Job,2014
Dennis Haysbert,Life of a King,2014
Robert Ryan,The Racket,1951
Dreux Frederic,You Got Served,2004
Isabel Parra,Mercedes Sosa: The Voice of Latin America,2014
Brad William Henke,Split,2017
Gilles Lellouche,My Piece of the Pie,2011
Susan Sarandon,Igby Goes Down,2002
Ankur Khanna,Amu,2006
Craig Roberts,Premature,2014
Jerzy Kosinski,Reds,1981
Logan Lerman,Indignation,2016
Jean-Yves Gautier,Das Versprechen (The Promise),1995
Mila Kunis,Ted,2012
Richard Tienken,Eddie Murphy Delirious,1983
Hal Holbrook,Carried Away,1996
Maika Monroe,The Tribes of Palos Verdes,2017
Ray Liotta,Identity,2003
Jon Oswald,Lowlife,2018
Lizzy Caplan,Cloverfield,2008
Hippolyte Girardot,Jump Tomorrow,2001
Fred Warren,In Old Arizona,1928
Mara Corday,Tarantula,1955
Gena Rowlands,Gloria,1980
Common,LUV,2013
Catherine O'Hara,Home Fries,1998
Lee Meredith,The Sunshine Boys,1975
Lane Smith,Air America,1990
Julia Roberts,Wonder,2017
Rick Gonzalez,Pulse,2006
Uma Thurman,The Producers,2005
Howard St. John,Shockproof,1949
Judi Dench,Casino Royale,2006
Natasha Lyonne,Night at the Golden Eagle,2002
Andrew Howard,Heights,2005
Damin Alczar,Crnicas,2005
Charlotte Lewis,The Golden Child,1986
Boris Kodjoe,Madea's Family Reunion,2006
Simone Mauriello,Jig,2011
Jesse McCartney,Beware the Gonzo,2011
Emi Masuda,Caterpillar,2011
Adam Williams,Fear Strikes Out,1957
Paul Giamatti,Parkland,2013
Dorian Gray,Il Grido (The Cry),1957
Sarah Rose Karr (II),Beethoven,1992
Patty Duke Astin,The Miracle Worker,1962
Ray Bolger,The Harvey Girls,1946
Mothusi Magano,Tsotsi (Thug),2006
Quinton Aaron,1982,2013
Shirley Temple,Heidi,1937
Lucy Mann,Speak The Music: Robert Mann And The Mysteries Of Chamber Music,2014
Arthur Hill,A Little Romance,1979
Ken Kirzinger,The Assignment,2017
Simon Pegg,Burke and Hare,2011
Paul Bettany,Gangster No. 1,2000
Ramsey Orta,Copwatch,2017
Alessio Orano,Lisa And The Devil (Lisa e il diavolo) (The Devil in the House of Exorcism),1973
Eriq Ebouaney,Lumumba,2001
Carla Wilkins,Patagonia Rising,2012
Keith David,Larger Than Life,1996
Ed Harris,National Treasure: Book of Secrets,2007
Naima McLean,Vehicle 19,2013
Alex Draper,Yellowbrickroad,2011
Reinaldo Arenas,Sniper,1993
Colin Farrell,The New World,2005
Luke Prael,Boarding School,2018
Djimon Hounsou,Baggage Claim,2013
Jia Song (II),The Final Master,2016
Danny Nucci,Brave Little Toaster to the Rescue,1999
Nathanial Parker,The Haunted Mansion,2003
Tom Berenger,The Dogs of War,1980
Barbara Barrie,Breaking Away,1979
Carl Bernstein,The U.S. vs. John Lennon,2006
Nicholas Art,Taking Chance,2009
Jorge Gautier,Boricua's Bond,2000
John Travolta,Phenomenon,1996
Aaron Paul,Choking Man,2007
Corey Feldman,An Affair of the Heart,2012
Charlotte Flyvhom,Dark Touch,2013
Patrick Kennedy,Eva Hesse,2016
Leehom Wang,"Lust, Caution",2007
Booker Bradshaw,Coffy,1973
Norma Martelli,La Notte di San Lorenzo (Night of the Shooting Stars) (The Night of San Lorenzo),1982
Chris Rock,The Week Of,2018
Sarah Wynter,Coastlines,2006
Sigrid Thornton,The Man from Snowy River,1982
Billy Bob Thornton,Waking Up in Reno,2002
Harlan Warde,The Monster That Challenged the World,1957
Richard Dreyfuss,Mr. Holland's Opus,1995
Yvette Mimieux,Where the Boys Are,1960
Aya Takanashi,Mr. Baseball,1992
Humphrey Bogart,Sahara,1943
Daniel Craig,Casino Royale,2006
Aaron Poole,Cas & Dylan,2015
Yang Kuei-Mei,Vive l'Amour,1994
Robert Forster,Vigilante,1983
Michael Shannon,Complete Unknown,2016
Gina Gershon,American Dresser,2018
Laura Dern,Citizen Ruth,1996
Gideon Emery,Primeval,2007
Morgan Kelly,Blood Honey,2018
Mark Berger,Hockney,2016
Kathrine Switzer,Free to Run,2016
Heather North,The Barefoot Executive,1971
Malcolm McDowell,Antiviral,2013
Chris Weitz,Chuck & Buck,2000
Tyann Means,Modern Romance,1981
Chandra Wilson,Frankie & Alice,2014
Mark McConchie,Wrecked,2011
Mel Gibson,The Singing Detective,2003
J. Omar Castro,Barefoot,2014
Brittany Allen,What Keeps You Alive,2018
Vas Blackwood,Mean Machine,2002
Robert Newton,The Desert Rats,1953
John Alexander,Arsenic and Old Lace,1944
Tereza Vorskov,Venkovsk Ucitel (The Country Teacher),2008
Darrell Hammond,Kiss Me Again,2006
Brett Ratner,POM Wonderful Presents: The Greatest Movie Ever Sold,2011
Eddie Albert,Head Office,1986
Deborah Kerr,The Night of the Iguana,1964
Aladin Reibel,Leaving (Partir),2010
Omari Hardwick,Middle of Nowhere,2012
Thomas Dekker,A Nightmare on Elm Street,2010
Mary Riordan,The Wind That Shakes the Barley,2007
Callum Maloney,Luis and The Aliens,2018
Tuesday Weld,Falling Down,1993
Kristin Scott Thomas,Bel Ami,2012
S Yamamura,Tokyo Story (Tky monogatari),1953
Kasuji Yoshida,White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,2007
Peter Weller,The Adventures of Buckaroo Banzai,1984
Nancy Sinatra,The Wrecking Crew,2015
Shin'ya Tsukamoto,Marebito,2005
Meryl Streep,Doubt,2008
Janet Munro,The Day the Earth Caught Fire,1962
Lela Rochon,First Daughter,2004
Dennis Quaid,I Can Only Imagine,2018
Silvia Llanos,Sex and Lucia,2002
Delta Burke,Sordid Lives,2000
Johnny Knoxville,Skiptrace,2016
Patrick Johnston,Brooklyn Castle,2012
Victoria Jackson,Family Business,1989
Patrick Huard,Starbuck,2013
Marilyn Monroe,The Seven Year Itch,1955
Halle Berry,The Rich Man's Wife,1996
Jorge Adrin Espndola,Sangre De Mi Sangre,2007
Jensen Daggett,Major League: Back to the Minors,1998
Richard Boone,The Arrangement,1969
Jessica Ellerby,Hollow,2012
Lindsay Farris,Primal,2010
Jacob Lofland,Mud,2013
Tatianna Butler,Shadow: Dead Riot,2005
Donatien Suner,My Worst Nightmare,2012
Lung Ti,The Legend of Drunken Master (Jui kuen II) (Drunken Fist II),1994
John Holmstrom,Who Killed Nancy?,2010
Jack Warden,Problem Child,1990
Pierre Brasseur,Eyes Without a Face,1962
Chris Marquette,Graduation,2007
Stephen Cromwell,The Hallow (The Woods),2015
Heinrich Gotho,Frau im Mond (By Rocket to the Moon) (Woman in the Moon),1929
Peyman Moaadi,A Separation,2011
Ashley Arbaugh,Girl Model,2012
Angelina Jolie,Beowulf,2007
John Ratzenberger,WALL-E,2008
John Beasley,The Apostle,1998
Parkasio Ole Muntet,Masai: The Rain Warriors,2006
Nancy Dussault,The In-Laws,1979
Bruce Cabot,Diamonds Are Forever,1971
Malin Akerman,Wanderlust,2012
Ginger Baker,Beware Of Mr. Baker,2012
Ramon Estevez,Cadence,1989
Guy Doleman,Funeral in Berlin,1966
Ben Kingsley,Tuck Everlasting,2002
Boris Karloff,Isle of the Dead,1945
Claire Danes,Igby Goes Down,2002
Wyclef Jean,Black November,2015
Caridad 'La Bruja' De La Luz,Down to the Bone,2005
Louis Calhern,Duck Soup,1933
Inma Cuesta,Julieta,2016
Cristin Quevedo,Violeta Went to Heaven,2013
Sean Bean,Essex Boys,2000
Judge Reinhold,Beverly Hills Cop,1984
Lynne Thigpen,Blankman,1994
Xiao Shen-Yang,The Grandmaster,2013
Ethan Hawke,Dad,1989
Cristina Ciofu,12:08 East of Bucharest (A fost sau n-a fost?),2007
Duke Doyle,Uncle Nino,2003
Jean-Philippe Ricci,A Prophet (Un prophete),2010
Will Ferrell,Everything Must Go,2011
Cree Cathers,Crooked Arrows,2012
Juan Diego,Jamn Jamn,1991
Ted Levine,Little Boy,2015
Oleg Tabakov,Taking Sides: Le cas Furtwngler,2003
Kyko Koizumi,Tokyo Sonata (Tokyo Sonata),2009
Lewis Abernathy,Ghosts of the Abyss,2003
Richard Attenborough,The League of Gentlemen,1959
Odette Annable,You Again,2010
Viggo Mortensen,Crimson Tide,1995
Idris Elba,Zootopia,2016
Isabelle Fuhrman,Salvation Boulevard,2011
Benny Hill,The Italian Job,1969
Casey Affleck,Race the Sun,1996
Billy Warlock,Society,1989
Lena Headey,300,2007
Frank Hvam,Klown Forever (Klovn Forever),2016
"Jimmie ""J.J."" Walker",Let's Do It Again,1975
Ana Claudia Talancn,Alone with Her,2007
Jessica Lange,King Kong,1976
Cameron Diaz,Charlie's Angels - Full Throttle,2003
Danielle,A Complete History of My Sexual Failures,2008
Denny Lee Kirkwood,Groove,2000
Christopher Meloni,The Diary Of A Teenage Girl,2015
Matt Vodvarka,Echoes of Innocence,2005
Jeffrey Jones,"Transilvania Seis, Cinco Mil",1985
Peter Dante,Strange Wilderness,2008
Sam Anderson,Devil's Due,2014
James Booth,Zulu,1964
John Walton,The Efficiency Expert,1992
Theodor Loos,Metropolis,1927
Leo Fitzpatrick,Cold Comes The Night,2014
Bruce Thomas,Son of Batman,2014
Tsutomu Tatsumi,Grave of the Fireflies (Hotaru no haka),1988
Liev Schreiber,The Manchurian Candidate,2004
Don Bachardy,Hockney,2016
Mira Sorvino,At First Sight,1999
Michael Mann,Greedy Lying Bastards,2013
Josh Charles,Dead Poets Society,1989
Ann Casson,Number Seventeen (Number 17),1932
Jim Arnold,Savage Grace,2007
Josh Wiggins,Max,2015
Kristen Riter,Student Bodies,1981
Rhys Wakefield,Broken Hill,2009
Ellen Pompeo,Old School,2003
Rafe Spall,The Ritual,2017
Devon Crosby-Helms,The Heart of the Game,2005
Simon Baker,I Give It a Year,2013
Charlie Sheen,Free Money,1999
Jon Abrahams,Come Back To Me,2014
Danah Boyd,Terms And Conditions May Apply,2013
Henry Fonda,Fail-Safe,1964
Lauren McKinney,Paranoid Park,2007
Harry Belafonte,When the Levees Broke: A Requiem in Four Acts,2006
Bruce Davison,Persecuted,2014
Andre Pousse,A Cop (Un Flic),2013
Paul Walker,Vehicle 19,2013
Jing Boran,Rise of the Legend (Huang feihong zhi yingxiong you meng ),2016
Walter Abel,Holiday Inn,1942
Laura Linney,Hyde Park on Hudson,2012
Juan Riedinger,It Stains the Sands Red,2017
Jess Weixler,Alexander the Last,2009
Frayser Boy,Take Me to the River,2014
Zoe Weizenbaum,Twelve and Holding,2006
Jamie Dornan,Fifty Shades of Grey,2015
Margaret Cho,Wedding Palace,2013
Dominic Cooper,Summer in February,2014
James Brown (II),Soul Power,2009
Edward Barnabell,The Ringer,2005
Matthew Sunderland,The Devil's Rock,2012
Ivan Nagy,Heidi Fleiss: Hollywood Madam,1995
Giovanni Ribisi,Heaven,2002
Ellen Burstyn,How to Make an American Quilt,1995
Joey Lauren Adams,A Cool Dry Place,1998
Bryan Fogel,Icarus,2017
Gary Lockwood,2001: A Space Odyssey,1968
Victoria Sobel,Ivory Tower,2014
Michael Goodliffe,The Day the Earth Caught Fire,1962
Angelique Sheppard,Craigslist Joe,2012
Jesse Metcalfe,The Other End of the Line,2008
Campbell Scott,Mrs. Parker and the Vicious Circle (Mrs. Parker and the Round Table),1994
Jeffrey D. Sams,Checking Out,2005
Graham Chapman,Yellowbeard,1983
Carla Thomas,Wattstax,2000
Brad Dourif,Bride of Chucky,1998
Tony Randall,Will Success Spoil Rock Hunter?,1957
Ashley Judd,Kiss The Girls,1997
Gayland Williams,Natural Selection,2012
Calvin Levels,Adventures in Babysitting,1987
Prakash Raj,Bhaag Milkha Bhaag,2013
Joseph Cross,Untraceable,2008
Brenda Fricker,A Time to Kill,1996
Oliver Driver,Black Sheep,2006
Walter Cronkite,We're Back! A Dinosaur's Story,1993
Judi Dench,The Chronicles of Riddick,2004
George Takei,Star Trek IV - The Voyage Home,1986
John Ashton,Beverly Hills Cop II,1987
Jake Hoffman,Enter the Dangerous Mind,2015
Claire Keelan,The Trip to Spain,2017
Francis Schaeffer,American Jesus,2014
Naomi Watts,Diana,2013
Taron Egerton,Sing,2016
Hal Holbrook,Creepshow,1982
William Levy,Resident Evil: The Final Chapter,2017
Viggo Mortensen,The Lord of the Rings: The Two Towers,2002
Maynard Eziashi,Bopha!,1993
Jesse Royce Landis,To Catch a Thief,1955
Mickey Dorsey,Six Million and One,2012
Albert Brooks,Defending Your Life,1991
Judy Brady,"Pink Ribbons, Inc.",2012
Jewel Kilcher,Ride With the Devil,1999
Kristin Chenoweth,My Little Pony: The Movie,2017
Charlize Theron,Dark Places,2015
Patricia Clarkson,The Safety of Objects,2001
Simon Chandler,The Lord of the Rings,1978
Susannah Mars,Intruder,2016
Anthony Hopkins,The Efficiency Expert,1992
Cylia Malki,La Moustache,2005
Jiang Wu,A Touch of Sin,2013
Holt McCallany,Blackhat,2015
Martie Maguire,Dixie Chicks - Shut Up and Sing,2006
Raimon Panikkar,Sagrada: The Mystery of Creation,2014
Jacqueline Bisset,Swing,2004
Laura Dern,When The Game Stands Tall,2014
William H. Macy,Murder in the First,1994
Jason Statham,Mechanic: Resurrection,2016
Pat Hingle,Sudden Impact,1983
Angela Bettis,Coastlines,2006
Bernadette Lafont,"London mon amour (Mes amis, mes amours)",2008
Keith Poulson,Somebody Up There Likes Me,2013
Dermot Mulroney,Where the Day Takes You,1992
Brian Geraghty,Refuge,2014
Marsha Mason,Nick of Time,1995
Matthias Hues,I Come in Peace,1990
Edward Norton,Stone,2010
Camilla Overbye Roos,The Guilty,2000
Elle Fanning,20th Century Women,2017
Elisabeth Shue,Leaving Las Vegas,1995
Bruno Todeschini,La dlicatesse (Delicacy),2012
John Glover,Gremlins 2: The New Batch,1990
Mandy Patinkin,Squanto: A Warrior's Tale,1994
Stella Malucchi,Fah talai jone (Tears of the Black Tiger),2007
David Gulpilil,Rabbit-Proof Fence,2002
Sam Neill,The Dish,2001
Shaghayegh Jodat,Gabbeh,1997
Michael DeMesa,On The Job,2013
Donal Logue,Steal This Movie,2000
Jeff Donnell,In a Lonely Place,1950
Clifton Young,Dark Passage,1947
Harry Lister Smith,God's Own Country,2017
Peter Blok,Tricked (Steekspel),2016
Adam LeFevre,The Lucky One,2012
John Cusack,Serendipity,2001
Peter Bogdanovich,Broken English,2007
Jesse White,The Cat from Outer Space,1978
Barry Pepper,Like Dandelion Dust,2010
Jamey Sheridan,Reunion,2009
Angela Bassett,Olympus Has Fallen,2013
Brionne Davis,Embrace Of The Serpent (El Abrazo De La Serpiente),2016
David Strathairn,"Good Night, And Good Luck",2005
Trevor Howard,Von Ryan's Express,1965
Lucian McAfee,Side Effects,2005
Jason Patric,The Abandoned,2016
Carmen Maura,Free Zone,2006
Freda Jackson,"Die, Monster, Die!",1965
Adam Pascal,Rent,2005
Gal Altschuler,Kedma,2003
Sebastian Stan,Gone,2012
Daniel Bernhardt,Precious Cargo,2016
Robin Williams,Nine Months,1995
C. Thomas Howell,A Question of Faith,2017
Noah Segan,The Mind's Eye,2016
Tzahi Grad,Eyes Wide Open (Einaym Pkuhot),2010
Arnold Schwarzenegger,Terminator 3 - Rise of the Machines,2003
Shia LaBeouf,Borg Vs. McEnroe,2018
Martin Compston,Red Road,2007
Andrew Howard,Girls Against Boys,2013
Alexandra Dinu,Bullet Head,2017
Judy Parfitt,Dolores Claiborne,1995
Malcolm Douglas,The Ghost and the Darkness,1996
Imogen Poots,Filth,2014
Rosemarie DeWitt,Poltergeist,2015
Susan Hayward,The Snows of Kilimanjaro,1952
Don Pedro Colley,THX 1138,1971
Toby Kebbell,Fantastic Four,2015
Olivia Harris,The Playroom,2013
Jason Lee,Dreamcatcher,2003
Tony Cox,Who's Your Caddy?,2007
Ray Stevenson,Jayne Mansfield's Car,2013
Scott Speedman,Anamorph,2008
Christian Kane,Life or Something Like It,2002
Sam Brower,Sons of Perdition,2011
Matthew McConaughey,Fool's Gold,2008
Klaus Kinski,Woyzeck,1979
Patrick Warburton,Kronk's New Groove,2005
Scarlett Johnson,Pimp,2010
Snoop Dogg,The Wash,2001
Wen-You Cai,Sky Ladder: The Art of Cai Guo-Qiang,2016
Gene Lockhart,The House on 92nd Street,1945
John Lurie,Blank City,2011
Babbayar Batchuluun,The Cave of the Yellow Dog (Die Hohle des gelben Hundes),2005
Griffin Dunne,An American Werewolf in London,1981
Ewen Bremner,AVP - Alien Vs. Predator,2004
Simon Dutton,Walking With The Enemy,2014
Savanah Wiltfong,Dear Lemon Lima,2011
Jonathon Paskowitz,Surfwise,2007
Danielle Darrieux,5 Fingers,1952
Dragomir Mrsic,Snabba cash (Easy Money),2012
Rachel Korine,Septien,2011
Ben Kingsley,Suspect Zero,2004
Chiwetel Ejiofor,Doctor Strange,2016
Emma Thompson,The Winter Guest,1997
Summer Phoenix,The Believer,2002
Naomi Watts,Mulholland Drive,2001
Dorrie Kavanaugh,Hester Street,1975
Anthony Zerbe,Licence To Kill,1989
Danny DeVito,Harold And Lillian: A Hollywood Love Story,2017
Carrie Fisher,This Is My Life,1992
Brandon Quintin Adams,The Sandlot,1993
Freddie Prinze Jr.,Scooby-Doo,2002
Skandar Keynes,The Chronicles of Narnia: Prince Caspian,2008
Beau Bridges,The Wizard,1989
Rick Rossovich,The Terminator,1984
Rodrigo Santoro,Post Grad,2009
Hunter Parrish,Still Alice,2015
Everley Gregg,Brief Encounter,1945
Embeth Davidtz,Paranoia,2013
June Lang,Captain January,1936
John McGiver,Midnight Cowboy,1969
Rachel Melvin,Mom and Dad,2018
Dorothy Comingore,Citizen Kane,1941
Jenny McCarthy,BASEketball,1998
Julie Harris,The Haunting,1963
James Coburn,In Like Flint,1967
Anna Kendrick,Pitch Perfect 3,2017
Alvy Moore,Susan Slept Here,1954
Jeff Bridges,Heaven's Gate,1980
Natalie Portman,Jackie,2016
Johnny Depp,What's Eating Gilbert Grape,1993
Mikhail Rasumny,Anna and the King of Siam,1946
Bob Odenkirk,Incredibles 2,2018
Paul Hubschmid,Funeral in Berlin,1966
Jerry Swindall,Flesh And Bone,1993
Chlo Grace Moretz,The Poker House,2008
Robin Williams,RV,2006
Yvette Mimieux,The Black Hole,1979
Clark Gregg,11:14,2003
Carrie Snodgress,Blue Sky,1994
Janet Panetta,Frank Serpico,2017
Natalie Portman,Beautiful Girls,1996
Bill Dean,Night Watch,1973
Melik Malkasian,The Auteur,2008
Jim Gaffigan,Final,2001
Red Buttons,When Time Ran Out,1980
Cara Buono,All Saints,2017
Sean Gunn,A Boy Called Po,2017
Tupac Shakur,Juice,1992
Michael Rooker,Days of Thunder,1990
Jonathan Franzen,Philip Roth: Unmasked,2013
Thomas Mitchell,The Black Swan,1942
Rufus Sewell,The Legend of Zorro,2005
Martha Hyer,Sabrina,1954
Charles Papasoff,The Intruder,1999
Toni Collette,Lucky Them,2014
Sam Vlahos,The Big Squeeze,1996
Stockard Channing,Six Degrees of Separation,1993
Jacques Perrin,Cinema Paradiso (Nuovo Cinema Paradiso),1988
Rachel Nichols,P2,2007
Jamie Harrold,The Score,2001
Colm Feore,Changeling,2008
Trevor Thomas,Sheena,1984
Howard I. Smith,Kiss of Death,1947
Martha Higareda,Mariachi Gringo,2013
Russ Tamblyn,Seven Brides for Seven Brothers,1954
Colin McCormack,Death Line (Raw Meat),1972
John Livingston,Dopamine,2003
Hans Conried,The Monster That Challenged the World,1957
Daniel Brhl,"Good Bye, Lenin!",2004
Steve Buscemi,Living in Oblivion,1995
Karen Allen,Shoot the Moon,1982
Lucille Ball,Mame,1974
Anas Demoustier,Thrse,2013
Clint Howard,Sparks,2014
Tony Way,Down Terrace,2010
David Call,The Girl in the Book,2015
Francesc Orella,Los ojos de Julia (Julia's Eyes),2010
Jimmy Carter,Gonzo: The Life and Work of Hunter S. Thompson,2008
Maya Rudolph,Grown Ups 2,2013
Wood Harris,Dredd,2012
Vince Colosimo,Chopper,2001
Parker Posey,Broken English,2007
Thure Lindhardt,Eddie The Sleepwalking Cannibal,2013
Ian Hart,Aberdeen,2001
Benjamin Bratt,Piero,2002
Ivan Barnev,Urok (The Lesson),2015
Mick Jagger,Muscle Shoals,2013
James McArdle,The Chamber,2018
Dylan Baker,The Stone Angel,2007
Barry Maguire,The President's Analyst,1967
Eva van der Gucht,"Noordzee, Texas (North Sea Texas)",2012
Linda Sini,The Easy Life (Il sorpasso),1962
Jack Nicholson,Something's Gotta Give,2003
Tommy Chong,Up in Smoke,1978
Adolphe Menjou,State of the Union,1948
Manuel Portillo,7 Boxes,2014
Jack Lemmon,The Odd Couple II,1998
Radhika Apte,Parched,2016
Tatum O'Neal,Nickelodeon,1976
Isabelle Huppert,The Bedroom Window,1987
Wang Lee Hom,Little Big Soldier (Da bing xiao jiang),2011
Adam Baldwin,Radio Flyer,1992
Inanna Sarkis,Tyler Perry's Boo 2! A Madea Halloween,2017
Alexandra Aitken,Enduring Love,2004
Christopher Lee,Taste the Blood of Dracula,1970
Roy Day,Long Weekend,1979
Christopher Gorham,A Boy Called Po,2017
Jordi Molla,Bad Boys II,2003
Karel Roden,Habermann,2011
Holly Marie Combs,Simple Men,1992
Donald Crisp,The Uninvited,1944
Abbie Salt,Hangar 10,2015
Harry Lennix,Pumpkin,2002
Eddie Marsan,Sherlock Holmes,2009
Richart Tuttle,Black White + Gray: A Portrait of Sam Wagstaff and Robert Mapplethorpe,2007
Askel Hennie,Max Manus: Man of War,2010
Joan Cusack,Mr. Wrong,1996
Milo O'Shea,The Butcher Boy,1997
Tom Cruise,Jerry Maguire,1996
Kaliel Isaza Tuzman,Startup.com,2001
Manuela Martinez,Crossing Arizona,2006
Warwick Davis,Leprechaun 2,1994
Patrick Dempsey,Winning: The Racing Life Of Paul Newman,2015
Louis Hayward,The Strange Woman,1946
Padraic Delaney,Dark Touch,2013
Kelly Rowan,Jack and Jill vs. the World,2008
Temuera Morrison,The Beautiful Country,2005
Jerry Ferrara,Where God Left His Shoes,2007
Adrian Zmed,Grease 2,1982
Gopi Desai,My Son the Fanatic,1999
Brett Cullen,Monte Carlo,2011
Pam Ferris,Nativity 2,2013
Harrison Ford,Star Wars: Episode VII - The Force Awakens,2015
